time,cbh (m) (Cloud base height),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
2020-01-01 00:00:00,,297.8243,0.5262956,0.2685012,0.44459417,0.7911759,46.388687,46.117897,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 00:00:00,,297.8437,0.63730174,0.26005277,0.47561878,0.84128267,49.858795,49.583973,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01 00:00:00,,297.95142,0.7478714,0.28784382,0.43124166,0.8840148,50.62956,50.336678,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01 00:00:00,,297.44626,0.672693,0.2900381,0.49698955,0.8346726,50.61166,50.29766,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01 00:00:00,,296.92584,0.58205307,0.4099956,0.5123881,0.8499125,51.224133,50.904137,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01 00:00:00,,296.8257,0.5709192,0.3480835,0.38304317,0.7872211,47.477386,47.24077,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01 00:00:00,,296.45416,0.5191972,0.35507157,0.3823966,0.7711788,45.763214,45.55044,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01 00:00:00,,296.7871,0.45106924,0.2717611,0.3025381,0.71140814,41.49336,41.327457,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01 00:00:00,,297.13867,0.58815426,0.27614358,0.29042965,0.7544126,45.20778,45.008682,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 00:00:00,,297.60504,0.62547743,0.2219225,0.30985972,0.77715206,45.668976,45.483685,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01 00:00:00,,297.45267,0.80794746,0.27441487,0.33117244,0.88355285,48.058502,47.778873,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01 00:00:00,,297.10733,0.795607,0.29185477,0.44545823,0.895746,49.667164,49.358585,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:00:00,,296.95306,0.68788195,0.27147102,0.5280178,0.85585356,48.457985,48.146225,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 00:00:00,,297.45126,0.8129416,0.26884723,0.45454505,0.9130351,48.6648,48.38857,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01 00:00:00,,296.78418,0.7948321,0.31409016,0.51417613,0.91398585,49.707607,49.333225,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01 00:00:00,,297.02316,0.7830935,0.33709323,0.46647477,0.8970917,50.545338,50.173836,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 00:00:00,,296.76004,0.48552462,0.38964707,0.48606294,0.78804696,49.432873,49.073326,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01 00:00:00,,296.36517,0.5403155,0.4258917,0.4006425,0.8037943,47.382797,47.10942,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01 00:00:00,,295.93182,0.37143955,0.3491359,0.4155475,0.71329284,43.75245,43.535652,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01 00:00:00,,296.89767,0.5385855,0.24149564,0.32054672,0.7354844,43.57545,43.407463,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01 00:00:00,,297.10205,0.5617283,0.24987869,0.3185163,0.7320036,45.57474,45.37723,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01 00:00:00,,297.55817,0.71044356,0.26032263,0.35335895,0.82630146,48.716972,48.466183,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:00:00,,297.43903,0.76288676,0.26757193,0.3719054,0.87077737,48.868176,48.614494,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01 00:00:00,,297.69873,0.7924054,0.27443454,0.40082136,0.8950756,49.636955,49.39575,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:00,,297.74713,0.68482995,0.22397019,0.34490654,0.8098784,43.822,43.60884,,,,,,,,,,,,,,,,,,,,,,,,,,,
